,claim,label
4993,Santa Barbara Zoo’s elderly elephant Little Mac euthanized.,0
27177,The Trump Administration’s policies have halted a research effort seeking a cure for HIV.,0
1914,Judge blocks graphic cigarette warnings.,0
34690,"Over 37 million bees were killed by a large GMO cornfield planted in Ontario, Canada.",3
26716,“President Trump has come into contact with a potential coronavirus sufferer!”,1
24601,"The Democrat-backed health care reform plan ""will require (Americans) to subsidize abortion with their hard-earned tax dollars.",1
17569,Rhode Island’s teen binge drinking rate is double the national average.,1
590,New Delhi declares public emergency as pollution at year's worst.,0
2581,"Sun, sand and root canal: Medical tourism booms in Costa Rica.",0
1541,"Raised for meat in South Korea, dogs head for new homes in U.S.",0
9105,New blood test may transform the way cancer is monitored and treated,2
26768,Sanitizer will do nothing for the coronavirus.,1
2633,France's 20th century radium craze still haunts Paris.,0
9215,Researchers develop automated melanoma detector for skin cancer screening,2
10213,New DNA Tests Aimed at Reducing Colon Cancer,2
17053,"President Barack Obama’s budget threatens national security by proposing ""an Army of fewer personnel than we had before Pearl Harbor.",1
2839,Increasing H7N9 bird flu toll demands constant vigilance.,0
10053,"Good news, bad news for former estrogen users",2
7180,Baltimore mayor says her $500K book deal was a ‘mistake’.,0
26611,"Chain message Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.",1
35554,Legionnaires' disease can be contracted from a face mask used repeatedly.,1
31114,Justin Bieber and Katy Perry made public statements warning that the music industry is run by pedophiles.,1
37844,The Michigan secretary of state's office sent absentee ballots to 7.7 million people,1
4634,Indiana veteran who wanted final flight dies after reunion.,0
3652,"Pakistan battles dengue epidemic, with 20 deaths so far.",0
8240,UK trials new breathing aid developed by Mercedes Formula One.,0
10562,The trouble with mammograms,0
2493,Bike sharing offers big fitness benefits for the little commute.,0
2661,"Pop culture, wealthy Chinese spur medical tourism in Asia.",0
28597,A young boy named Dakota was air lifted to the hospital after having a seizure.,2
16012,Over half the people on disability are either anxious or their back hurts.,1
37627,People in Kansas have been jailed due to medical debt.,0
4895,Chicago teachers’ contract talks about more than money.,0
9634,Oramed says oral insulin succeeds in midstage type 2 diabetes trial,2
11603,FDA approves Epclusa for treatment of chronic Hepatitis C virus infection,0
22663,"Lorraine Fende Says that in Ohio ""right now, you could be 8½ months pregnant and have an abortion for no reason.",0
11471,"To Inspect the Heart, Some Doctors Now Start at the Wrist",0
888,Singapore seizes ivory from nearly 300 elephants in record haul.,0
30381,"The ""Wall Street Journal"" (or another large news outlet) has published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public.",1
17306,"Steve McQueen Says 21 million people ""still suffer slavery today.",0
23237,"Tom Barrett Says ""Scott Walker says he would ban stem cell research",1
10019,MRI Might Screen for Autism,1
9293,"Five-Year Follow-Up Study Further Supports Effectiveness and Safety of the Essure® Procedure as a Non-Surgical, Non-Hormonal Option for Permanent Contraception",1
7191,California’s new governor says ‘God no’ to run for president.,0
9866,Gallbladder removed through mouth in new surgical technique,1
33932,"Jimmy Carter published an open letter entitled ""Losing My Religion for Equality.",0
34474,Application of Vicks VapoRub to the soles of children's feet effectively counters nighttime cough.,3
9928,Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care,2
22510,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,1
31635,Over-the-counter painkiller paracetamol is contaminated with the Machupo virus and should be avoided.,1
29129,"Jack Andraka, 15, came up with a “100 percent accurate” cancer-detection method that was “168 times faster, 26,000 times less expensive, and 400 times more sensitive” than current methods.",1
30127,"“Presidential alerts” are capable of accessing the E911 chip in your phones, which provides the government full access to your location, microphone, camera and every function of your phone.",1
6078,Health officials warn of possible Legionnaires’ exposure.,0
37974,"Former Vice President Joe Biden received five medical deferments, allowing him to avoid serving in the Vietnam War.",0
11409,Study finds computers hinder accuracy in mammography,0
18506,"Nelson Wolff Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",1
8999,Mice regrow brain tissue after stroke with bioengineered gel,2
9210,Zinc eaten at levels found in biofortified crops reduces 'wear and tear' on DNA,1
40135," Little Lauren Renee Pingel was in a car accident in Amarillo, Texas, and despite being strapped in a car seat, was severely injured.  Her grandmother has issued an email request for prayer. ",0
4666,Over 200 visitors enroll in New Mexico medical pot program.,0
5161,Boy on hospital floor dominates Britain’s election campaign.,0
8344,"Tom Hanks, wife Rita Wilson test positive for coronavirus in Australia.",0
3710,1st federal opioid crisis trial to focus on distribution.,0
17533,Nearly 40 percent of his McAllen-area constituents suffer from obesity.,0
41314,Latex rubber is in vaccines and causes life-threatening allergic reactions.,3
15197,"In countries where there are higher, more strict gun laws, there is more gun violence.",1
5401,Film academy president keeps job following investigation.,0
17169,"When people enter the service, there’s not a mental health evaluation.",0
14388,"Under Hillary Clinton, State Department ""officials were sending official thank-yous to people who gave to the Clinton Foundation.",1
12627,"Every day, four North Carolinians die from a medication or drug overdose.",0
34507,"KT McFarland, Trump's pick for his national security team, outed her gay brother as he was dying from AIDS.",3
3890,County contracts mental health provider for Montana jail.,0
10994,Breast cancer diagnosis gets a boost with gammagrams,0
565,"Vaping illness, deaths likely very rare beyond U.S., experts say.",0
4604,China dangles a potentially harmful new threat in trade war.,0
34031,"In October 2019, Chick-fil-A's charitable donations were contributing to efforts to introduce the death penalty for homosexuality in Uganda.",2
28502,A widely shared social media post accurately lists reprehensible acts committed by former Maricopa County Sheriff Joe Arpaio.,2
39734,"  Up to 70% of Americans have been infected with a “Vampire Fungus” from eating unhealthy foods that causes weight gain, skin problems and indigestion.   ",1
6556,Hurricane Harvey’s toxic impact deeper than public told.,0
8241,Britons warned some coronavirus lockdown measures could last months.,0
3594,Gardens at VA Hospital provide recreation and therapy.,0
28029,"A video shows a chicken being hypnotized by holding its head down and ""drawing"" a line in the sand extending from its beak. ",0
24360,The attorney general requires that rape victims pay for the rape kit.,1
41008,The number of new cases in South Korea is declining.,0
8049,"Anxiety, anger and hope as women face childbirth during coronavirus pandemic.",0
2881,GSK hands back failed muscular dystrophy drug to Prosensa.,0
9194,Encouraging clinical results for an antibody drug to prevent or treat HIV,2
762,"Typhoon lashes Japanese capital, one dead, power, transport disrupted.",0
5127,3 win Nobel Prize for showing how cells sense low oxygen.,0
5485,Trump administration drops Obama-era water protection rule.,0
16620,"Mitch McConnell Says he ""voted for even stronger protections (in the Violence Against Women Act) than Obama's agenda will allow.",1
3711,UN says Ebola in Congo still qualifies as global emergency.,0
35372,A news reporter in Florida was diagnosed with cancer after a viewer spotted a lump in her throat during a broadcast. ,0
10587,Once-a-day AIDS pill may be OK’d soon,1
2584,Ireland to clarify abortion rules after woman's death.,0
26490,"The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.",1
2779,Fourth Canadian farm hit by pig killing virus: Ontario official.,0
7477,Doctors and nurses suffered as Iran ignored virus concerns .,0
7127,Toking up while working out: Pair plan gym allowing pot use.,0
8849,"New schizophrenia drugs no better, Dutch team find.",0
5457,"Key moments in lead in water crisis in Flint, Michigan.",0
89,"J&J recalls 33,000 bottles of baby powder as FDA finds asbestos in sample.",0
11269,New Surgery to Treat Asthma,2
9289,Definitive tests for irritable bowel syndrome developed at Cedars-Sinai: New blood tests will speed up diagnosis for the most common GI disorder,1
30777,Donald Trump was not accused of sexual assault until he ran for President in 2016.,1
28266,"If you did the ""age challenge"" and used FaceApp to upload your picture, Russians now own all of your photographs.",2
5367,TravelLab: Adults take over science museums when night falls.,0
10458,Testing Athletes’ Hearts May Cut Deaths,0
11337,Is it Brain Infection or Cancer? A New Rapid Test Could Hold the Answer,2
30996,A dog named Daisy rescued hundreds of people from the damaged World Trade Center towers on 9/11.,1
9009,"Brain scans may help diagnose neurological, psychiatric disorders",1
9848,Prostate cancer treatment may spark heart problems,2
2107,"Ban trans fats and cut salt, demands UK health body.",0
10370,"Women Taking Calcium Supplements May Risk Heart Health, Researchers Say",0
2753,Study finds deregulation fuelling obesity epidemic.,0
33407,"The opening line of the Christmas carol ""God Rest Ye Merry Gentlemen"" means ""God make you mighty, gentlemen.",1
8967,"Scans cut heart attack rates and save lives, major study finds",1
1744,Methamphetamine use soars in Iran as lifestyles speed up.,0
31622,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,1
37502,"United States President Donald Trump's website is selling breathing masks bearing his slogan, ""Make America Great Again.",1
8672,"Syria, insisting it is coronavirus-free, takes broad steps to prevent spread.",0
5421,Chicago woman finds 15 half siblings through DNA test.,0
40975,Antivirals should be used to fight Covid-19.,2
11396,"Early Cesareans put babies at risk, study finds",0
15183,"Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.",0
37876,Singer Dolly Parton donated USD$1 million toward research into treatments against COVID-19.,0
7264,Zambia to vaccinate 1 million against cholera amid outbreak.,0
5834,State to labs: report all results of tests for 3 diseases.,0
2738,Boston Scientific sees opportunity in rival's setback.,0
17011,"Under David Dewhurst’s leadership, the Texas ""Senate passed an expansion of in-state tuition and free health care to illegal immigrants.",1
10611,Treatment for Peanut Allergies Shows Promise,0
9410,Early Prostate Cancer Kept at Bay in Two Studies for High-Risk Men,2
2683,Depressed? You must like chocolate.,0
11167,New drug ‘big deal’ in cystic fibrosis fight,1
295,WHO recommends one-hour maximum screen time per day for under-5s.,0
8489,"European politicians, CEOs, lawmakers urge green coronavirus recovery.",0
5425,Africa’s booming cities face a severe toilet crisis.,0
30827,Authorities in Mexico have seized a massive shipment of cocaine headed towards a U.S. government facility.,1
5126,Dutch doctor dies of lassa fever contracted in Sierra Leone.,0
9379,Overcoming Fear of Back Pain May Spur Recovery,2
2051,U.S. unveils graphic tobacco warnings.,0
9225,Saturated fat could be good for you,1
38704," Those who purchase hunting and fishing gear at Cabela’s (and other retailers) now have to pay a medical excise tax established under Obamacare, according to social media posts. ",1
34669,A teenaged girl was drugged and nearly abducted in a Dillard's department store by fellow teens working on behalf of sex traffickers.,3
18554,"Preventive care coverage under the Affordable Care Act has already ""helped Granite Staters save money and live healthier lives.",2
34480,Doctors are now saying menstrual cramps are as painful as heart attacks.,3
17546,"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.",1
3385,Massachusetts retailers can again sell pot vaping products.,0
623,WHO hails 'triumph' as Merck's Ebola vaccine gets European green light.,0
9256,FDA Clears P-Cure Upright Imaging Solution  for Proton Therapy Enhancement,2
1943,"After Fukushima, mother fights to get her life back.",0
5670,Congo Ebola survivor passes college exam taken in isolation.,0
29085,Static electricity is the cause of an increase in gas station refueling fires.  ,2
2800,Britain unveils ban on e-cigarettes for under-18s.,0
41317,"MSG is in vaccines and is linked to birth defects, developmental delays, infertility and is banned in Europe.",3
6351,Hepatitis A on rise in Colorado with nearly 300 known cases.,0
4184,State officials warn of algae bloom along Boston river.,0
3991,Australian animal health firm apparently leaves Lawrence.,0
10642,UAB Recruiting for Clinical Trial to Determine Therapies for Eradication of Multiple Myeloma –University of Alabama at Birmingham,1
36392,Images depict the effects of lax immigration laws on California.,2
5459,Lawyers making final pitches in Flint water criminal case.,0
78,China's tobacco monopoly means big risks for e-cigarette startups.,0
3351,Wyoming residents concerned about proposed horse facility.,0
7702,"In Chilean desert, global thirst for lithium is fueling a 'water war'.",0
8211,"In Nagoya, scramble for hospital beds shows coronavirus challenge for aging Japan.",0
10058,Study Questions Chiropractic’s Impact on Back Pain,0
11021,Fertility supplements may help some women conceive,0
11459,Study finds early potential in GSK leukaemia drug,1
3582,Former Winona candy factory to become pet vitamin plant.,0
8718,Cabin crew swap aircraft aisles for hospitals in UK's coronavirus fight.,0
4917,Utah banning ‘conversion therapy’ with Mormon church backing.,0
4952,Health care worker in Grant County has mumps.,0
281,"India cyclone kills at least 33, hundreds of thousands homeless.",0
34307,Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.,3
7029,2020 hopeful Moulton shares mental health woes as war vet.,0
26316,"“Guess what, [children are] not at risk unless they have an underlying medical issue.”",1
8778,H9N2 bird flu threat understated in humans says expert.,0
12671,Autopsy results from Vince Foster’s exhumed body — Cause of death to be changed!,1
11296,Single Dose of Hallucinogenic Drug Psilocybin Relieves Anxiety and Depression in Patients with Advanced Cancer,2
10097,Hepatitis C Drug Raises Cure Rate in Late Trial,2
23041,"Tom Barrett Says ""Scott Walker wants to ban common forms of birth control, including the pill.",2
3724,Players’ mental health becoming major issue in cricket.,0
38892, President Obama has changed the Oath of Allegiance so that new naturalized citizens don’t have to pledge to take up arms to defend the U.S. ,1
7766,Profit-hungry tiger breeders behind push to lift China’s trading ban.,0
9720,Talk Therapy Found to Ease Schizophrenia,0
11124,Prostate Cancer Studies Find Benefit in Daily Acetaminophen and Brisk Walks,1
26524,"John Bel Edwards Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",0
9919,Cancer-fighting spices offer flavorful way to eat healthy,1
7519,Ohio’s stockpile got its start after the attacks of Sept. 11.,0
9810,FDA Approves Cystic Fibrosis Drug,2
28230,Cocoa mulch contains a chemical (theobromine) that can be harmful to pets.,0
10296,"Robotic surgery grows, but so do questions",0
10756,"Hormone therapy raises risk quickly, study finds",2
7978,Shortage of drugs and equipment: Brussels hospitals sound the alarm.,0
7358,Illinois nurse express regret for bar visit without mask.,0
13262,"Just like Donald Trump, David Jolly wants to outlaw a woman's right to choose.",1
8037,"Coronavirus cases top half a million, protective gear lacking: WHO.",0
9205,Progesterone may be key to preventing recurrent miscarriage,1
29256,Pepsi admitted that their soda contains cancer-causing ingredients.,1
24542,"The Democratic health care bill in the House would ""create 53 new government bureaucracies.",1
35449,"In 2020, two school boys in China died suddenly after wearing face masks during physical exercise.",0
40539,"  This             email says that in the event of a heart attack when you are by             yourself, coughing repeatedly and vigorously can keep the heart             beating until help arrives.   ",1
8431,Austria plans to test all retirement home residents for coronavirus.,0
4545,2020 Dems’ health care battle is decades in the making.,0
10139,New easy-to-use TB test achieves accuracy comparable to IGRAs in Phase III trials,0
29364,The U.S.'s leading group of pediatricians issued a strong statement condemning tolerance of gender dysphoria in children.,1
36380,"Under a new law, people can be arrested for conspiracy to commit murder if anyone travels out of Georgia for an abortion.",3
3010,"Iowa Legislature back to talk taxes, workers, child care.",0
6002,‘Super coral’ scientist dies in Hawaii at age 56.,0
8984,Older patients with knee pain may benefit from allograft transplant technique,1
9565,Babies Should Eat Eggs and Peanuts Early to Avoid Food Allergies,1
2418,Kettlebells swing to a full body workout.,0
4822,Meet Eugene’s young climate ‘warriors’.,0
3376,"Georgia health agency warns of widespread flu, urges shots.",0
26362,Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”,0
1856,Eagle center struggles to supply American Indians rituals.,0
2987,Oklahoma attorney general sues distributors of opioids.,0
11223,New studies say antibiotics are good for infants with confirmed ear infections,0
37586,"If you have a credit card and a kid, add your kid on as an authorized user and pay the bill on time. By the time that kid hits 18, boom 800+ credit score for them to succeed in this world.",2
33343,Wedding guests should refrain from throwing rice at newly-wedded couples because the rice kills birds who eat it.,1
2917,FDA approves AstraZeneca type 2 diabetes drug.,0
10418,Viagra may help heart effects of muscular dystrophy,1
21075,On using embryonic stem cells for medical research.,2
5811,Officials: 21 measles cases in Detroit area since March 13.,0
16032,"The name Frank has risen in popularity by 20 percent"" since the debut of 'House of Cards' on Netflix.",1
18240,"The state GOP ticket ""says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.",1
13691,"Bill Clinton Says Hillary Clinton tripled the number of people with AIDS whose ""lives are being saved .. and it did not cost you any more money.",0
10703,Potential Parkinson’s Treatment Explored,0
10372,Drug May Delay Pancreatic Cancer Return,0
5591,Hearing concludes in Missouri abortion clinic licensing case.,0
11375,Getting the focus back: There’s new hope for people with age-related macular degeneration,2
7548,US plans reimagine fighting wildfires amid crews’ virus risk.,0
35908,"U.S. Democratic presidential nominee Joe Biden supports ""defunding"" police agencies.",1
1540,Scientists find clues to why binge-drinking causes binge-eating.,0
10666,Breakthrough in Creating Artificial Pancreas,1
35978,A drunk crop duster pilot dumped four tons of manure over parts of Kansas.,1
28699,Inspirational Internet postings recount the high and low points in the life of KFC founder Colonel Harland Sanders.,2
14349,Evidence shows Zika virus turns fetus brains to liquid.,1
14317,"States with ""the highest gun ownership rates also have the highest suicide rates.",0
41046,On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.,3
26005,“People are starting to enter ERs with fungal lung infections from wearing masks!!,1
27906,Actress Martha Raye entertained troops and tended to wounded soldiers in the field in Vietnam.,0
10830,Gene Therapy Cures Adult Leukemia,0
4829,Chicago officials urge flu vaccine before peak season.,0
10781,Study: New blood thinner works as well as Coumadin,0
11578,Blood-Pressure Drugs Linked to Birth Defects,0
10993,Pushing Limits of New Knees,2
1883,Bread a culprit in Americans eating too much salt.,0
11465,Jury Still Out on Radiation for Early Prostate Cancer,0
28401,Claims made in a widely-shared 2018 meme about the personal and family history of Congressman Beto O'Rourke are accurate.,2
23877,"A major part"" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was essentially written by BP.",1
6367,"Hepatitis A confirmed at Redfield, Arkansas, diner.",0
22127,"Tom Petri Says President Barack Obama’s debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.",1
30696,Gabapentin is now considered the most dangerous drug in America and will surpass opioids as the largest prescription drug killer.,1
1872,Disney closes controversial fat-fighting exhibit.,0
11446,Abaloparatide may help prevent fractures in postmenopausal women with osteoporosis,0
35678,"People vaccinated for seasonal influenza face higher chances of catching SARS-COV-2, which causes COVID-19, or testing positive for the virus when they do not actually have it. ",1
16895,Gun homicide is down 49 percent in the past 12 years.,1
26760,"Viral image Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.",1
5604,EPA to issue permits for Los Alamos storm water runoff.,0
10503,Scientists find nutty risk reducer: Eat more nuts,2
10330,Cancer drug 49 times more potent than Cisplatin,2
11020,Experts Issue New Guidelines on Breast Cancer Drugs,2
8415,Ireland has mostly contained coronavirus outbreak: health chief.,0
9821,"Nicotine patches, gum don’t prevent relapse, study finds",2
10417,New heart attack test could identify two-thirds of patients at very low risk of heart attack in the emergency department,2
9888,Novartis Drug Curbs Repeat Hip Fractures,0
18121,"In Providence, R.I., it's illegal to sell toothpaste and a toothbrush to the same customer on a Sunday.",1
14776,"Here in Wisconsin, we've put in previous budgets more money into mental health services than any governor has in the last 25 years.",0
41830,"Sen. Elizabeth Warren ""doesn’t have any Indian blood.",1
11967,"Insurance companies ""have made a fortune with Obamacare.",1
36391,"In 1969, Chicago police urinated on food and supplies intended for use in a free breakfast program spearheaded by the Black Panthers.",3
35521,"As of July 17, 2020, Nueces County in Texas had seen 85 positive COVID-19 tests among children aged under 1 year.",1
26649,COVID-19 started because we eat animals.,1
8351,"Coronavirus death toll jumps to 107 in Italy, all schools shut.",0
2052,"Fast-food restaurants target U.S. kids, study shows.",0
29982,Melania Trump was the first First Lady to visit troops in a war zone. ,1
8595,"Iran says coronavirus death toll nearing 4,000.",0
9553,The race to create a new class of ovarian cancer drugs heats up,2
8892,Merck Says Thousands File for Vioxx Payments.,0
6559,Residents: Tests find toxic chemicals after Texas plant fire.,0
6296,Rural Wisconsin schools getting mental health help by video.,0
27326,"President Trump intends to nominate Dr. Oz to the Presidential Council on Sport, Fitness and Nutrition.",0
3078,4th Massachusetts resident dies of vaping-related illness.,0
3914,Iowa public health officials tackle vaping health concerns.,0
24871,"John McCain accused Barack Obama ""of letting infants die.",1
21803,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster.",0
9168,Common antibiotic may help to prevent or treat PTSD,1
11335,Proton therapy controls common pediatric brain tumor with fewer long-term side effects,2
8515,Russian border becomes China's frontline in fight against second virus wave.,0
8068,"With U.S. hit by virus, China courts Latin America with medical diplomacy.",0
38800, A female physician from Munich described in an email the challenge of providing medical care to refugees from Syria and other Middle Eastern countries who have come to Germany. ,3
10579,Evidence a high-fat diet works to treat epilepsy,0
3402,Georgia could be first state to test Trump health proposals.,0
32385,Police opened fire on a store mannequin after it failed to follow their orders.,1
21064,House Republicans are ramming through legislation ... to classify pizza as a 'vegetable' for the purpose of school lunches.,2
24820,Senator McCain would pay for part of his (health care) plan by making drastic cuts in Medicare — $882-billion worth.,1
33739,"Disney arranged to have himself frozen in cryonic chamber full of liquid nitrogen upon his death,",1
6877,"Ultrasound jiggles open brain barrier, a step to better care.",0
4423,Lake worshipped by Incans now littered with trash.,0
2314,U.S. says science should settle farm debates in trade deal with EU.,0
7530,"US surgeon general urges caution, not panic, on new virus.",0
17857,"Virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.",0
2970,"Climate is changing. Investing needs to, too, says BlackRock.",0
10557,Blood test for Alzheimer’s,2
1382,Regulator grants license for Britain's first three-parent IVF babies.,0
11625,Portable Device May Relieve Migraine Pain,2
6155,EPA chemical safety nominee drops out amid strong opposition.,0
11582,Hormone patch shows benefit over pill,0
36725, Claims that President Trump is exhibiting signs of dementia in his speech and actions began circulating on social media in May 2017. ,3
31928,A California Senate bill gives the state the right to seize children from their families,1
7390,Jackson Laboratory gets funding boost for genetics research.,0
3061,"Steyer visiting North Carolina, including Barber’s church.",0
34349,All of the patients in the intensive care unit of a Puerto Rican hospital were killed by Hurricane Maria.,3
10320,Shot Might One Day Help Lower Cholesterol,2
7445,Louisiana to name nursing homes where outbreaks happen.,0
7355,US begins ‘warp speed’ vaccine push as studies ramp up.,0
29260,The seeds of certain common household plants can be used as an alternative to LSD.,1
672,U.S. travel warning adds to pressure on Tanzania over suspected Ebola cases.,0
32291,Photos and video clips narrated by a medical doctor demonstrate that Democratic presidential candidate Hillary Clinton likely has Parkinson's disease.,1
11238,ADHD Stimulants Might Help a Smoker With the Disorder Cut Back on Cigarettes,2
27070,"Hair-grooming syncope"" is a real fainting disorder that can occur during acts of hair care. ",0
26376,Donald Trump Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,1
10644,Study Shows Chest Pain From Heart Disease Can Be Treated With Stem Cell Therapy,0
3316,Principal who went into coma after bone marrow donation dies.,0
3387,"Massachusetts officials rescind ban on vaping product sales
.",0
8493,Taiwan reports no new coronavirus cases for first time in a month.,0
35539,"By spring 2020, the sun had entered a ""lockdown"" period where its solar activity decreased to the point that famine, earthquakes, and freezing weather threatened life on Earth.",1
29421,Julian Assange asked President-Elect Donald Trump for a pardon in exchange for his help in defeating Hillary Clinton.,1
14910,"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.",2
3958,Officals say the flu is ‘prevalent’ in New York.,0
15539,"Jeb Bush Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.",0
14234,"Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born.",1
2021,Raw milk debate simmers as states and FDA mull rules.,0
10580,Fewer mammograms means more breast cancer deaths,1
8014,Cuban doctors head to Italy to battle coronavirus.,0
13006,"Activities by foreign governments had ""absolutely no effect on the outcome of this election.",1
34735,"Fourteen-year-old, terminally ill cancer patient Maddox Hyde asked that people send him Christmas cards for the holiday.",2
5577,Officials say 2 meningitis deaths in Ohio county unrelated.,0
8952,Getting relief from sexual dysfunction and incontinence caused by menopause,1
33812,A secret tape recorded aboard the doomed space shuttle Challenger captured the final panic-stricken moments of the crew. ,1
1500,Israel targets fashion industry over underweight models.,0
24624,"Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP"" say that health reform ""makes sense to do.",0
27929,Account by Apollo 11 astronaut Buzz Aldrin describes his taking Communion on the moon.,0
377,Quebec appeals court upholds C$15 billion tobacco class action ruling.,0
